img1,img2,label1,label2
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,4,4
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,4,4
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-42-43_FLAG_P_FID_982_OID_3882g0_ctw-cp-1b-002_1719812400_1719812563_982.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,4,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,4,4
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-43-43_FLAG_P_FID_1340_OID_2134g0_ctw-cf-2b-149_1719812400_1719812623_1340.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,4,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,4,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,4,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-47-33_FLAG_P_FID_922_OID_1141g0_ctw-cf-2b-145-zone_1719812700_1719812853_922.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,4,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,3,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,3,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,3,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T12-48-10_FLAG_P_FID_1139_OID_1818g0_ctw-cf-2c-094_1719812701_1719812890_1139.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,3,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,5,5
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,5,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-00-31_FLAG_P_FID_186_OID_2g0_ctw-cf-2d-089_1719813601_1719813631_186.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,5,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,5,3
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-01-29_FLAG_P_FID_537_OID_37g0_ctw-cf-1d-055_1719813600_1719813689_537.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,5,6
0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-02-51_FLAG_P_FID_1022_OID_198g0_ctw-cf-1d-054_1719813601_1719813771_1022.jpg,0005a289-f913-45b5-95c5-f4990e00eb34/2024-07-01T13-05-56_FLAG_P_FID_337_OID_199g0_ctw-cf-1d-059_1719813901_1719813956_337.jpg,3,6
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-19-34_FLAG_P_FID_1642_OID_662g0_ctw-cf-1a-085_1719818101_1719818374_1642.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T14-33-40_FLAG_P_FID_1326_OID_654g0_ctw-cf-2a-123_1719819000_1719819220_1326.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-26-57_FLAG_P_FID_701_OID_1412g0_ctw-cf-2a-140-zone_1719822301_1719822417_701.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,1,1
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-18_FLAG_P_FID_830_OID_1255g0_ctw-cf-2c-104_1719822300_1719822438_830.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T15-27-24_FLAG_P_FID_867_OID_1706g0_ctw-cf-2c-105_1719822300_1719822444_867.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,1,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,2,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-46_FLAG_P_FID_1352_OID_3797g0_ctw-cf-1c-031_1719826201_1719826426_1352.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,2,2
00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-33-52_FLAG_P_FID_1393_OID_1515g0_ctw-cf-1c-029_1719826201_1719826432_1393.jpg,00112c45-ddfa-4c60-b465-a6b15f281b0c/2024-07-01T16-34-18_FLAG_P_FID_1554_OID_3198g0_ctw-cf-1c-015-zone_1719826200_1719826458_1554.jpg,2,2
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-37-19_FLAG_P_FID_839_OID_1418g0_ctw-cf-2c-109-zone_1719822900_1719823039_839.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-55-41_FLAG_P_FID_250_OID_1872g0_ctw-cf-2e-112_1719824100_1719824141_250.jpg,3,2
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-37-19_FLAG_P_FID_839_OID_1418g0_ctw-cf-2c-109-zone_1719822900_1719823039_839.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T16-04-36_FLAG_P_FID_1657_OID_394g0_ctw-cf-2e-121-zone_1719824401_1719824676_1657.jpg,3,2
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-37-19_FLAG_P_FID_839_OID_1418g0_ctw-cf-2c-109-zone_1719822900_1719823039_839.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-37-34_FLAG_P_FID_924_OID_3374g0_ctw-cf-2a-139_1719830101_1719830254_924.jpg,3,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-37-19_FLAG_P_FID_839_OID_1418g0_ctw-cf-2c-109-zone_1719822900_1719823039_839.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-38-24_FLAG_P_FID_1225_OID_4875g0_ctw-cf-2b-144_1719830101_1719830304_1225.jpg,3,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-37-19_FLAG_P_FID_839_OID_1418g0_ctw-cf-2c-109-zone_1719822900_1719823039_839.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-39-32_FLAG_P_FID_1632_OID_1331g0_ctw-cf-1b-027_1719830101_1719830372_1632.jpg,3,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-55-41_FLAG_P_FID_250_OID_1872g0_ctw-cf-2e-112_1719824100_1719824141_250.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T16-04-36_FLAG_P_FID_1657_OID_394g0_ctw-cf-2e-121-zone_1719824401_1719824676_1657.jpg,2,2
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-55-41_FLAG_P_FID_250_OID_1872g0_ctw-cf-2e-112_1719824100_1719824141_250.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-37-34_FLAG_P_FID_924_OID_3374g0_ctw-cf-2a-139_1719830101_1719830254_924.jpg,2,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-55-41_FLAG_P_FID_250_OID_1872g0_ctw-cf-2e-112_1719824100_1719824141_250.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-38-24_FLAG_P_FID_1225_OID_4875g0_ctw-cf-2b-144_1719830101_1719830304_1225.jpg,2,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T15-55-41_FLAG_P_FID_250_OID_1872g0_ctw-cf-2e-112_1719824100_1719824141_250.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-39-32_FLAG_P_FID_1632_OID_1331g0_ctw-cf-1b-027_1719830101_1719830372_1632.jpg,2,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T16-04-36_FLAG_P_FID_1657_OID_394g0_ctw-cf-2e-121-zone_1719824401_1719824676_1657.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-37-34_FLAG_P_FID_924_OID_3374g0_ctw-cf-2a-139_1719830101_1719830254_924.jpg,2,3
0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T16-04-36_FLAG_P_FID_1657_OID_394g0_ctw-cf-2e-121-zone_1719824401_1719824676_1657.jpg,0013cda4-05bd-4632-a631-70c018b86867/2024-07-01T17-38-24_FLAG_P_FID_1225_OID_4875g0_ctw-cf-2b-144_1719830101_1719830304_1225.jpg,2,3
